"WT0h"	"WT0hMBV"	"PKKO0h"	"PKKO0hMBV"	"REV0h"	"REV0hMBV"	"WT24h"	"WT24hMBV20uM"	"WT24hACV50uM"	"PKKO24h"	"PKKO24hMBV20uM"	"PKKO24hACV50uM"	"REV24h"	"REV24hACV50uM"	"WT48h"	"WT48hMBV20uM"	"WT48hACV50uM"	"PKKO48h"	"PKKO48hMBV20uM"	"PKKO48hACV50uM"	"REV48h"	"REV48hMBV20uM"	"REV48hACV50uM"
"BLRF2"	-8.18864695	-8.86368485	-9.62318655	-9.69637429	-9.89827822	-9.32647022	-5.13778872	-5.82647166	-6.0743776	-5.59531684	-6.05904659	-6.02131176	-4.89080129	-6.12268033	-0.382146330000001	-2.13626807	-3.05713602	-2.87962853	-3.05820579	-3.83353936	-0.355073919999999	-1.43384153	-2.92088409
"BLRF3"	-8.11864695	-7.97368485	-8.29318655	-8.45637429	-8.87827822	-8.74647022	-5.07778872	-5.72647166	-4.9843776	-5.13531684	-5.62904659	-4.99131176	-4.80080129	-5.69268033	0.537853670000001	-1.58626807	-2.52713602	-1.80962853	-1.83820579	-2.69353936	0.88492608	-0.87384153	-2.69088409
"BMLF1"	-7.49864695	-7.41368485	-6.70318655	-6.95637429	-8.22827822	-7.92647022	-2.25778872	-1.64647166	-1.4143776	-1.36531684	-1.06904659	-0.971311760000003	-1.64080129	-1.20268033	-0.802146329999999	-0.106268070000002	-0.577136020000001	-0.719628529999998	-0.15820579	-0.193539359999999	-0.505073920000001	-0.493841530000001	-0.450884089999999
"BMRF1"	-8.61864695	-8.54368485	-7.18318655	-7.38637429	-9.26827822	-9.82647022	-1.76778872	-1.26647166	-1.1443776	-1.14531684	-1.00904659	-0.851311760000002	-1.45080129	-1.09268033	-0.322146329999999	-0.0262680700000004	0.0728639799999975	-0.269628529999999	0.32179421	0.246460640000002	-1.05507392	-0.0838415300000008	-0.0908840899999994
"BMRF2"	-8.17864695	-8.43368485	-7.40318655	-7.62637429	-8.84827822	-8.89647022	-1.95778872	-1.43647166	-1.2943776	-1.28531684	-1.07904659	-0.881311759999999	-1.58080129	-1.21268033	-0.44214633	-0.0562680700000016	0.0128639799999988	-0.43962853	0.121794210000001	0.0864606400000021	-0.235073920000001	-0.273841530000002	-0.0408840899999987
"BNLF2a"	-5.59864695	-5.71368485	-5.72318655	-5.66637429	-5.47827822	-5.41647022	-4.65778872	-5.17647166	-5.1543776	-5.12531684	-5.23904659	-5.25131176	-4.23080129	-5.01268033	-1.25214633	-2.24626807	-3.70713602	-3.14962853	-3.39820579	-3.62353936	-0.445073919999999	-1.74384153	-3.12088409
"BNLF2b"	-13.84864695	-13.50368485	-14.85318655	-13.56637429	-13.59827822	-14.90647022	-12.49778872	-12.80647166	-13.6543776	-12.99531684	-12.96904659	-13.40131176	-13.18080129	-13.59268033	-8.66214633	-10.71626807	-11.97713602	-10.92962853	-10.68820579	-12.60353936	-8.57507392	-9.48384153	-13.06088409
"BNRF1"	-7.58864695	-7.36368485	-9.75318655	-9.56637429	-9.42827822	-9.40647022	-5.46778872	-6.34647166	-6.4743776	-8.08531684	-7.69904659	-8.48131176	-6.13080129	-8.24268033	-0.682146329999998	-1.98626807	-3.36713602	-3.87962853	-3.69820579	-5.19353936	-1.01507392	-2.26384153	-4.73088409
"BOLF1"	-10.28864695	-9.16368485	-9.61318655	-9.68637429	-10.21827822	-18.98647022	-2.02778872	-2.09647166	-1.3443776	-1.25531684	-1.02904659	-0.651311760000002	-1.77080129	-0.93268033	0.46785367	0.373731929999998	1.25286398	0.230371470000001	1.23179421	1.14646064	-0.145073920000002	0.10615847	0.279115910000002
"BORF1"	-10.41864695	-10.39368485	-10.75318655	-11.37637429	-10.60827822	-12.27647022	-3.33778872	-3.28647166	-2.6143776	-2.62531684	-2.31904659	-1.99131176	-3.11080129	-2.86268033	-1.37214633	-1.08626807	-0.497136020000003	-1.51962853	-0.42820579	-0.413539359999998	-1.18507392	-1.28384153	-0.860884089999999
"BORF2"	-10.17864695	-10.53368485	-10.01318655	-10.20637429	-11.20827822	-12.31647022	-3.34778872	-3.11647166	-2.5443776	-2.56531684	-1.98904659	-1.89131176	-2.88080129	-2.61268033	-1.28214633	-0.826268070000001	-0.517136020000002	-0.919628529999997	-0.26820579	-0.0435393599999969	-1.05507392	-0.973841530000001	-0.840884089999999
"BPLF1"	-9.86864695	-9.60368485	-10.11318655	-9.92637429	-10.34827822	-11.62647022	-3.90778872	-4.31647166	-3.5543776	-3.02531684	-3.16904659	-2.67131176	-3.76080129	-2.68268033	-1.43214633	-1.25626807	-0.507136020000001	-1.68962853	-0.648205789999999	-0.503539359999998	-1.38507392	-1.57384153	-0.890884089999997
"BRLF1"	-9.25864695	-9.64368485	-9.25318655	-8.73637429	-9.77827822	-10.28647022	-4.28778872	-3.73647166	-3.5343776	-3.71531684	-3.72904659	-3.51131176	-4.12080129	-4.05268033	-2.62214633	-2.76626807	-2.47713602	-2.69962853	-2.13820579	-2.78353936	-2.52507392	-2.58384153	-2.78088409
"BRRF1"	-8.86864695	-8.81368485	-8.20318655	-8.49637429	-9.50827822	-9.41647022	-5.43778872	-5.06647166	-4.7843776	-4.71531684	-4.87904659	-4.32131176	-5.03080129	-4.75268033	-3.01214633	-3.09626807	-2.69713602	-3.16962853	-3.11820579	-2.77353936	-2.94507392	-3.32384153	-2.87088409
"BRRF2"	-8.11864695	-8.28368485	-7.97318655	-7.91637429	-8.16827822	-10.53647022	-5.41778872	-5.26647166	-5.1243776	-5.09531684	-4.91904659	-4.71131176	-4.87080129	-5.25268033	-1.65214633	-2.02626807	-3.49713602	-2.49962853	-2.27820579	-3.08353936	-1.24507392	-1.88384153	-2.92088409
"BSLF1"	-9.69864695	-9.43368485	-9.67318655	-9.61637429	-10.04827822	-9.80647022	-6.22778872	-5.82647166	-5.3843776	-5.53531684	-5.33904659	-5.24131176	-5.60080129	-5.25268033	-2.80214633	-2.66626807	-2.81713602	-3.65962853	-3.12820579	-3.14353936	-2.63507392	-2.63384153	-2.71088409
"BSLF2"	-12.27864695	-11.89368485	-11.53318655	-11.39637429	-13.07827822	-12.83647022	-7.16778872	-6.38647166	-6.5843776	-6.37531684	-6.03904659	-5.94131176	-6.82080129	-6.55268033	-5.85214633	-5.17626807	-5.62713602	-5.38962853	-4.75820579	-5.04353936	-5.35507392	-5.43384153	-5.60088409
"BSRF1"	-8.88864695	-8.98368485	-8.69318655	-8.76637429	-9.74827822	-9.56647022	-4.70778872	-4.15647166	-4.2543776	-4.62531684	-4.67904659	-4.17131176	-4.62080129	-4.51268033	-1.40214633	-1.65626807	-1.13713602	-2.53962853	-1.81820579	-2.24353936	-1.58507392	-1.46384153	-2.11088409
"BTRF1"	-11.32864695	-10.71368485	-12.30318655	-12.26637429	-11.40827822	-11.25647022	-8.98778872	-9.32647166	-9.5743776	-9.67531684	-9.64904659	-9.90131176	-9.80080129	-9.74268033	-6.15214633	-6.68626807	-7.99713602	-7.45962853	-7.47820579	-8.08353936	-5.27507392	-6.20384153	-7.53088409
"BVRF1"	-9.68864695	-9.42368485	-10.70318655	-10.42637429	-9.81827822	-10.62647022	-6.57778872	-6.28647166	-6.1743776	-7.05531684	-6.97904659	-6.63131176	-6.22080129	-6.40268033	-3.27214633	-4.20626807	-4.03713602	-4.72962853	-4.34820579	-4.69353936	-2.38507392	-3.73384153	-4.50088409
"BVRF2"	-8.51864695	-8.46368485	-10.15318655	-10.64637429	-8.57827822	-8.42647022	-5.70778872	-6.76647166	-6.5843776	-6.54531684	-6.97904659	-6.88131176	-5.22080129	-6.52268033	-0.67214633	-2.67626807	-3.85713602	-3.37962853	-3.58820579	-4.47353936	-0.165073920000001	-1.69384153	-3.54088409
"BWRF1_43261"	-5.86864695	-5.48368485	-6.66318655	-6.16637429	-6.28827822	-5.65647022	-4.47778872	-5.09647166	-4.8743776	-4.81531684	-5.04904659	-5.18131176	-5.19080129	-4.83268033	-1.98214633	-1.87626807	-2.39713602	-3.84962853	-2.70820579	-3.09353936	-2.13507392	-1.79384153	-2.40088409
"BXLF1"	-7.19864695	-6.91368485	-7.86318655	-7.93637429	-7.52827822	-7.63647022	-4.39778872	-4.18647166	-3.6243776	-4.52531684	-4.27904659	-4.00131176	-4.08080129	-3.89268033	-2.56214633	-2.12626807	-2.10713602	-3.35962853	-2.75820579	-2.85353936	-2.13507392	-2.04384153	-2.21088409
"BXLF2"	-9.68864695	-9.59368485	-10.49318655	-10.44637429	-9.76827822	-10.67647022	-5.85778872	-5.04647166	-4.8743776	-5.68531684	-5.84904659	-5.42131176	-5.57080129	-5.17268033	-2.94214633	-3.10626807	-3.17713602	-4.41962853	-3.85820579	-4.13353936	-2.77507392	-3.44384153	-3.91088409
"BXRF1"	-11.32864695	-11.95368485	-13.71318655	-13.25637429	-12.03827822	-10.61647022	-9.66778872	-9.93647166	-10.3143776	-10.52531684	-10.68904659	-10.53131176	-9.47080129	-9.94268033	-4.67214633	-6.11626807	-8.46713602	-6.80962853	-6.74820579	-8.02353936	-3.81507392	-5.60384153	-7.43088409
"BYRF1"	-7.26864695	-6.81368485	-7.78318655	-7.63637429	-7.61827822	-7.14647022	-5.23778872	-5.18647166	-4.8543776	-5.65531684	-5.17904659	-5.48131176	-5.60080129	-5.63268033	-3.16214633	-2.27626807	-1.75713602	-4.22962853	-3.18820579	-3.48353936	-3.24507392	-2.53384153	-2.15088409
"EBNA3C"	-6.72864695	-6.47368485	-7.17318655	-7.17637429	-6.91827822	-6.62647022	-4.89778872	-6.04647166	-5.7743776	-5.54531684	-5.71904659	-5.60131176	-4.77080129	-6.14268033	0.64785367	-1.74626807	-3.06713602	-2.18962853	-2.40820579	-3.48353936	0.88492608	-1.03384153	-3.02088409
"exonEBNA"	-6.58864695	-6.15368485	-7.56318655	-7.18637429	-7.15827822	-6.92647022	-4.97778872	-5.31647166	-4.8343776	-5.71531684	-5.20904659	-5.36131176	-5.66080129	-5.53268033	-2.91214633	-2.17626807	-1.76713602	-4.34962853	-3.17820579	-3.44353936	-3.12507392	-2.46384153	-2.24088409
"GAPDH"	1.49135305	1.50631515	1.39681345	1.38362571	1.68172178	1.63352978	1.36221128	1.28352834	1.3856224	1.45468316	1.58095341	1.65868824	1.68919871	1.49731967	1.16785367	1.59373193	1.24286398	1.28037147	1.30179421	1.40646064	1.48492608	1.40615847	1.72911591
"HPRT"	-5.92864695	-5.84368485	-6.17318655	-6.47637429	-6.36827822	-6.54647022	-4.47778872	-5.47647166	-5.4043776	-5.34531684	-5.36904659	-4.97131176	-4.18080129	-5.49268033	1.16785367	-0.966268070000002	-2.64713602	-1.49962853	-1.73820579	-3.12353936	1.56492608	-0.493841530000001	-2.08088409
"LMP-1"	-4.42864695	-4.46368485	-4.54318655	-4.62637429	-4.26827822	-4.69647022	-4.37778872	-4.89647166	-4.8943776	-4.64531684	-4.69904659	-4.84131176	-4.53080129	-5.46268033	-3.21214633	-3.70626807	-4.75713602	-4.51962853	-4.26820579	-5.08353936	-2.82507392	-3.08384153	-4.23088409
"LMP-2A_166576"	-8.70864695	-8.71368485	-9.95318655	-9.63637429	-9.57827822	-8.87647022	-7.06778872	-7.51647166	-7.5643776	-7.41531684	-8.15904659	-7.81131176	-6.92080129	-8.02268033	-0.982146329999999	-3.38626807	-5.21713602	-3.40962853	-3.63820579	-5.53353936	-0.415073920000001	-2.60384153	-5.01088409
"LMP-2A_503"	-5.03864695	-5.05368485	-4.77318655	-4.80637429	-4.80827822	-5.65647022	-4.95778872	-5.37647166	-5.0143776	-5.33531684	-5.30904659	-5.54131176	-5.00080129	-5.70268033	-1.72214633	-3.05626807	-4.57713602	-4.15962853	-3.79820579	-5.19353936	-1.39507392	-3.24384153	-4.90088409
"LMP-2A_59"	-8.12864695	-7.77368485	-8.94318655	-8.83637429	-8.06827822	-8.59647022	-4.16778872	-3.71647166	-3.5643776	-4.62531684	-4.77904659	-4.45131176	-3.66080129	-3.55268033	-1.39214633	-1.42626807	-1.59713602	-2.71962853	-2.27820579	-2.78353936	-1.14507392	-1.42384153	-1.80088409
"house"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
