sample	orf	position	180.00	220.00	225.00	316.00	541.00	1167.00	1338.00	1347.00	1367.00	1461.00	1835.00	3392.00	3450.00	3588.00	4337.00	4647.00	4750.00	4983.00	5030.00	5098.00	5130.00	5267.00	5386.00	5557.00	5720.00	6039.00	6268.00	6725.00	6814.00	7109.00	8064.00	8670.00	9161.00	9401.00	9926.00	9953.00
actin_4	actinA	4	1.12	2.10	0.51	-1.21	1.21	1.45	1.43	1.96	0.57	1.86	-0.20	1.30	2.57	0.32	0.34	0.81	1.11	0.56	1.78	1.96	2.04	1.03	0.97	1.74	-0.14	0.36	0.31	0.57	1.71	2.47	4.04	1.03	1.66	0.31	2.07	2.33
actin_8	actinB	8	-7.00	-8.91	-9.06	-5.77	-5.92	-5.91	-5.30	-3.51	-4.50	-4.80	-7.72	-5.74	-9.31	-6.86	-4.45	-7.29	-5.94	-7.21	-5.97	-4.73	-7.34	-5.75	-6.45	-7.12	-3.77	-5.22	-4.29	-5.60	-5.59	-6.55	-8.56	-4.90	-7.86	-6.76	-5.34	-5.22
gapdh_1	gapdh	1	5.04	5.35	5.17	5.47	4.28	3.74	3.65	3.14	4.15	3.79	5.66	4.33	5.49	5.16	4.08	4.92	4.87	3.69	3.46	3.79	5.01	4.29	4.04	5.17	2.61	3.77	2.85	3.76	3.91	2.89	2.15	3.33	5.03	5.45	3.45	3.46
gapdh_2	gapdh	2	4.88	6.41	4.33	5.57	5.60	6.70	6.30	5.14	5.47	5.47	5.68	4.84	4.56	6.21	5.46	5.15	4.73	5.70	5.43	5.02	4.01	5.47	4.05	4.54	6.92	6.84	6.87	7.03	5.78	5.94	5.55	6.22	5.03	5.45	6.15	6.31
hprt_5	hprt	5	-0.82	-1.97	1.33	-0.68	-1.76	-3.48	-3.19	-3.08	-2.88	-2.59	-0.32	-2.35	-0.78	-2.33	-3.30	-1.81	-1.78	1.35	-1.46	-2.49	-1.43	-0.92	-0.26	-0.41	-3.10	-3.45	-3.44	-3.52	-3.11	-2.45	-1.49	-2.90	-2.00	-2.53	-3.33	-3.67
hprt_6	hprt	6	-5.96	-6.59	-4.56	-5.86	-5.69	-5.14	-5.38	-5.52	-4.83	-6.04	-6.08	-4.46	-5.49	-4.89	-4.22	-4.27	-5.13	-6.41	-5.46	-5.99	-4.98	-6.53	-4.02	-6.33	-4.47	-4.74	-4.42	-4.92	-5.21	-4.60	-4.59	-4.90	-4.76	-4.64	-5.28	-5.76
K1_133	K1	133	-36.36	-33.06	-29.09	-33.10	-27.34	-33.91	-34.96	-35.28	-34.94	-35.25	-26.84	-35.90	-32.30	-30.33	-28.15	-35.37	-28.99	-31.08	-35.12	-38.25	-37.65	-34.44	-33.49	-32.00	-33.19	-27.37	-26.25	-34.29	-26.77	-34.11	-35.85	-33.94	-36.30	-35.29	-33.34	-33.91
K1_348	K1	348	-36.36	-33.06	-29.09	-33.10	-33.82	-33.91	-34.96	-35.28	-34.94	-8.65	-33.59	-35.90	-32.30	-30.33	-19.38	-35.37	-29.90	-31.08	-35.12	-38.25	-37.65	-34.44	-33.49	-32.00	-33.19	-26.60	-25.02	-34.29	-23.22	-34.11	-35.85	-33.94	-36.30	-35.29	-33.34	-33.91
K1_622	K1	622	-36.36	-33.06	-29.09	-33.10	-33.82	-33.91	-34.96	-35.28	-34.94	-35.25	-17.17	-35.90	-32.30	-30.33	-13.53	-35.37	-34.31	-31.08	-35.12	-38.25	-37.65	-34.44	-33.49	-32.00	-33.19	-11.77	-15.18	-34.29	-13.47	-34.11	-35.85	-33.94	-36.30	-35.29	-33.34	-33.91
K3_18883	K3	18883	-36.36	-33.06	-29.09	-33.10	-33.82	-20.27	-34.96	-35.28	-18.21	-20.13	-33.59	-20.50	-32.30	-30.33	-22.36	-35.37	-34.31	-31.08	-35.12	-38.25	-24.89	-34.44	-33.49	-32.00	-33.19	-33.48	-33.49	-22.92	-24.17	-34.11	-26.42	-19.91	-36.30	-35.29	-19.07	-30.13
K3_19081	K3	19081	-20.31	-7.05	-29.09	-13.60	-22.34	-11.60	-34.96	-35.28	-10.91	-20.19	-33.59	-14.57	-32.30	-30.33	-17.97	-35.37	-34.31	-31.08	-15.72	-38.25	-18.61	-34.44	-33.49	-32.00	-33.19	-17.76	-33.49	-34.29	-14.27	-34.11	-18.56	-17.86	-26.03	-35.29	-33.34	-33.91
K3_19577	K3	19577	-36.36	-33.06	-29.09	-21.46	-33.82	-17.65	-34.96	-35.28	-15.55	-19.81	-33.59	-17.63	-27.12	-30.33	-23.91	-35.37	-34.31	-31.08	-19.05	-38.25	-25.43	-34.44	-19.85	-32.00	-33.19	-33.48	-33.49	-25.20	-19.50	-34.11	-23.43	-25.30	-36.30	-35.29	-33.34	-33.91
Orf70_20979	Orf70	20979	-36.36	-33.06	-29.09	-19.75	-33.82	-17.77	-34.96	-35.28	-21.11	-18.64	-33.59	-19.05	-32.30	-30.33	-21.73	-35.37	-34.31	-31.08	-35.12	-38.25	-29.29	-34.44	-33.49	-32.00	-33.19	-33.48	-33.49	-34.29	-23.79	-34.11	-27.53	-20.45	-36.30	-35.29	-33.34	-33.91
K4_21778	K4	21778	-29.63	-33.06	-29.09	-21.07	-33.82	-29.22	-34.96	-35.28	-19.51	-20.57	-26.76	-22.57	-32.30	-30.33	-25.36	-35.37	-34.31	-31.08	-35.12	-38.25	-26.46	-34.44	-33.49	-32.00	-33.19	-26.07	-33.49	-34.29	-26.88	-34.11	-30.02	-33.94	-29.70	-35.29	-33.34	-33.91
