"names"	"ap"
"K2"	0.00985668310095198
"K3"	9.44020383844943e-05
"K4"	7.51334304369231e-05
"K5"	0.0263150928118747
"K7"	0.0173812399398382
"K14"	0.00147163083358805
"K15"	0.405728450802519
"LANA"	0.725179092576721
"Orf4"	6.64919320576062e-05
"Orf6"	8.73620295868102e-08
"Orf7"	0.000121576224724232
"Orf8"	8.90927874733595e-07
"Orf9"	7.19840354542305e-09
"Orf10"	1.490668476497e-09
"Orf11"	0.000129612776891619
"Orf16"	5.19264735100942e-06
"Orf17"	9.13366609714614e-07
"Orf18"	0.143346693826801
"Orf20"	7.27677229172863e-08
"Orf21"	0.872012267539521
"Orf22"	0.00104020980107165
"Orf23"	3.29326371697697e-07
"Orf24"	0.00275947276540467
"Orf25"	3.55620901125601e-07
"Orf26"	0.0634163939478329
"Orf27"	0.002339122668135
"Orf29"	1.38575982495846e-06
"Orf30"	1.24797555890844e-05
"Orf32"	0.000163037144084953
"Orf34"	0.00306419078294325
"Orf36"	0.190122358664165
"Orf37"	0.00599514777668158
"Orf39"	0.131444780151838
"Orf40"	0.000101717701931025
"Orf42"	0.00312671618455581
"Orf43"	5.51252426806438e-06
"Orf44"	0.00398366310538077
"Orf45"	0.368848735701854
"Orf46"	0.853826337605191
"Orf47"	0.045118346807758
"Orf48"	0.16480308449699
"Orf49"	0.782066140307409
"Orf50"	0.57488246191595
"Orf52"	0.970044514719676
"Orf54"	0.757299776479089
"Orf55"	0.578109444307802
"Orf56"	0.721654708013743
"Orf57"	0.108282173236247
"Orf58"	0.0249027973714094
"Orf59"	0.160222272506209
"Orf60"	0.923144121398441
"Orf61"	0.0148094063218751
"Orf62"	0.0441788083351011
"Orf63"	0.841139536219572
"Orf65"	0.529043007833479
"Orf66"	0.303594759594251
"Orf67"	0.0447785655572431
"Orf68"	0.208104800857725
"Orf69"	0.445052035523679
"Orf70"	0.00654216582571925
"vCYC"	0.020050411111499
"vFLIP"	1
"vGPCR"	0.857682980113116
"vIRF1"	0.860303801573772
"vIRF2"	0.934537635285341
"vIRF4"	0.00447795955881274
