"X629"	"X731"	"X1314"	"X1700"	"X2572"	"X2741"	"X2858"	"X2910"	"X2969"	"X3544"	"X3937"	"X4678"	"X5485"	"X7121"	"X8239"
"Orf54_78056"	-7.94300713998097	-8.53718601156908	-0.201474397867704	-8.50847000079786	-8.94341716185776	-8.04580831130446	-8.52462412088616	-9.35299128660855	-9.01281720718538	-7.78634086400392	-8.70998171697447	-8.00321379324958	0.303386201950255	-8.07798300520193	0
"Orf55_78956"	-7.75711987901362	-8.05355008368105	-7.80439689414368	-6.86034777552571	-7.56887823017143	-7.19506528422791	-8.23218412062411	-8.16379674341495	-8.51057155250408	-6.75402407505587	-7.9114422188387	-7.51892786142582	-7.50578295944235	-7.50100403676102	0
"Orf45_46_47_48_68227"	-6.48784337936294	-3.60092188221357	0.0832084385757632	-0.721546158988154	-2.52379524607775	-7.79702412602357	-1.25760061968925	-1.04503843469797	-1.7020965584152	-11.7644735607245	-7.02408634857501	-0.882445283808289	0.0371787879386574	-11.4138131767987	0
"Orf60_61_62_97138"	-6.1184770747982	-7.53771631378602	-0.490948260158351	-6.50352395259475	-7.68983208696748	-1.90666863026854	-7.6426255679004	-7.13265156331581	-7.91070700137345	-6.92857554174926	-6.48364156452257	-6.0932248072028	-6.46930161775997	-6.57460933383941	0
"ORF71_vFLIP_122443"	-3.76141717304824	-1.72243498704124	-0.0554186639808165	-1.39805209748175	-1.66524236459037	-0.702190007044791	-1.20500404978253	-1.10854297165687	-0.613828629218322	-0.281828104662978	-1.2120218609496	-1.48925040340229	-1.5821520670605	-2.34772493946891	0
"Orf58or59_60_61_62_94950"	-3.36933945547507	-16.5394500054738	-1.53077024929573	-3.24912699701716	-3.91828651185986	-2.8610005034313	-1.34493133505218	-1.82496108021499	-17.2178578209968	-0.50993259425832	-15.928281789212	-2.48630709295393	0.983073878337869	-16.3497165297901	0
"ORF71_vFLIP_122381"	-3.30026298846627	-1.83494067788423	-1.38184682788709	-6.96402732569475	-3.97299744721785	-1.31085739526586	-2.11967118312863	-1.49861950414412	-1.18267426984747	-0.53192086234202	-2.14760389440433	-2.76045558308423	-2.28130905586657	-4.05598227883623	0
"Orf58or59_60_61_62_95417"	-3.14824761464312	-19.1591356214458	-6.08939881852135	-6.83971928509077	-4.29400024015128	-2.89201929414962	-5.41260652840501	-5.81439710309389	-20.1353225159655	-1.01669730687898	-18.7467899240431	-18.3994944163258	-1.75817234926291	-6.10496418650447	0
"Orf65or66_67_67A_112376"	-2.84154947243042	-10.5909713760238	-3.39071277308039	-10.0851472897233	-10.545977946519	-10.1230893038266	-10.2404637205375	-1.38078147741526	-7.76733376247514	-2.01630018602118	-10.1367350828296	-9.60550222539983	0.477416076145079	-10.0062958116915	0
"K2orOrf2_17821"	-2.48432919170123	-0.803968476760001	-1.62694305052742	-5.60763805848184	-16.7044357450668	-2.73163325594594	-2.37388068127177	-0.586754558428247	0.591015135543142	1.12928460108078	-0.552931313611406	-1.31475848036102	0.400010197592024	-2.79921500853397	0
"Orf20orOrf19_34089"	-2.33015125038092	-2.34574788996314	0.624054892749157	-3.15620879148885	-10.6978169320745	-4.09610803663071	-2.85954119643075	-7.31662169705994	-9.23935494338138	-6.71837261212319	-5.72560124490793	-6.05573017596066	-0.771742156442361	-2.28271890511093	0
"K7_28694"	-2.07001377551486	-4.78270950166497	0.272226878834122	-2.09464401294878	-3.08946545158725	-1.76631092337595	-2.14881112783369	-3.17871033719359	-3.43135780751483	0.153742028881682	-19.569126539623	-2.53790781488047	0.435972092594827	-5.00206800065226	0
"ORF71_vFLIP_122443_2"	-2.03781307125367	-1.68422181017132	-0.283485864988421	-3.81014413875882	-1.56110192218522	-1.0797468223894	-1.13217074384552	-0.890276433182393	-0.459523114479364	0.182806884953431	-0.842809476202429	-2.5829965421693	-1.01141039323921	-2.35557377726595	0
"K5_26200_2"	-1.9767593827371	-0.63144190431456	2.4360423726772	-0.859243819253635	-8.24229132476973	-0.37929144240467	0.442666141849699	-1.03905157990382	-1.80985994470992	-0.288361460749689	-7.10110853816342	-0.541194560541667	0.420337494764333	-8.21555189482728	0
"Orf73_LANAor72_vCyc_123511_2"	-1.97315533418488	-2.31463474659203	-1.0836253612147	-5.62864299381855	-2.14302155580433	-0.829198091247839	-2.56272317649251	-2.31274664869579	-0.572674154349745	-0.81130582247922	-2.35418408018541	-3.11642287298681	-2.49853834582139	-3.14763105635864	0
"Orf58or59_60_61_62_94692"	-1.7552457553535	-13.0489368204919	-2.45521799414436	-1.70937720002311	-2.30826847348831	-1.91791312450153	-2.15562883881194	-2.24240939352821	-12.8212562641455	0.0947972460759932	-12.6730559658099	-12.5238489937147	-0.495651288740806	-11.8696275838932	0
"ORF71_vFLIP_122381_2"	-1.72946866313936	-1.77152568438981	-0.355053113391417	-2.9695144714676	-1.64812052849355	-1.63182572644152	-0.95794353944914	-0.757157573736478	-1.42926244704907	-0.238419299027555	-1.08125079213651	-3.43601926623226	-1.00971478968473	-4.03491606918248	0
"vIRF1_K9_84086"	-1.69027773450892	-15.3172875746258	-15.703422846359	-15.2456000933775	-14.6501035063191	-15.7004135908801	-15.8140815251932	-16.6031600404031	-15.4943288196116	-14.565937016822	-14.9124503396545	-14.4285727929878	-14.8279891541603	-14.4188310729663	0
"Orf37or34_35_36_58237"	-1.47339020563735	-19.4371907045546	-1.978429656046	-19.43853809737	-1.32693487524557	-3.76476306848194	-2.94995846850835	-2.18578524036005	-19.2626836397819	-0.183896989326328	-19.4886562110037	-19.1755609418326	0.0915797223295662	-19.510007216936	0
"K15_130749"	-1.40740013483296	-1.06189109088421	-0.323896950656415	-3.85863744156041	-2.3531592012779	-1.7586530616117	-2.35258553101894	-1.84397805494706	-0.823222885491308	0.312122359091015	-1.36815358988635	-1.1281974581215	-0.67195727362806	-20.481443134245	0
"Orf56or57_83216"	-1.34215277455707	-13.8312742716505	-1.55120292022752	0.0208238354865991	-2.08076799131057	-1.025871760173	-0.730757397803945	-0.494247793636054	-14.8787696481011	-0.186584929249117	-14.3026250489745	-14.2417002399783	-0.47769072435835	-13.3147087580774	0
"Orf42orOrf43_62906"	-1.27403235233676	-14.443374615948	-3.11476018426845	-14.1408367001513	-1.92883160197215	-14.6530443342874	-3.18331487320341	-14.8886129437512	-14.3845230692385	-14.757717583267	-14.9368446263348	-1.12974495077664	-13.3974219597559	-14.6188968026291	0
"K3_19577"	-1.22795943370434	-1.46949186691349	-1.99413253462231	-0.794369048021284	-1.52394158965769	-1.1730361569071	-1.5872706324609	-2.03250400665298	-2.4560905120018	7.46834863261292	-1.8513971708468	-0.947460056780464	8.55780907925606	-1.22994557098269	0
"Orf59_60_61_62_95961"	-1.22150914076019	-18.0776488457972	-3.53253715269515	-2.89685360266215	-2.93507883489702	-1.52426876473734	-2.52231209082452	-2.9835706707845	-1.89007554712636	-0.593085959872059	-18.1303325548647	-2.61532541070369	-0.284010851215317	-17.7735143205479	0
"Orf66or67_67A_114218"	-1.1160125095717	-18.8930087131139	-1.94127545333064	-18.0625920357365	-2.01619422063415	-18.8682096032615	-18.1016643568871	-1.63352350740456	-18.9418140959072	-20.6059013682779	-18.0643214344685	-18.7850735298577	-17.2385536599315	-17.4856839108577	0
"Orf67or67A_113980"	-1.10107817153371	-16.3644132816465	-16.9133531426199	-15.1402691420882	-15.9684097738282	-16.0352341025263	-15.8572460989633	-16.9786520818084	-17.2231425355585	-3.05794610321912	-15.3974568595943	-16.5300898610606	-1.1264091157276	-15.215340413922	0
"K15_131458"	-1.05986479808821	-1.8377839357097	0.759120145245827	-3.06658016246772	-3.20987421743937	-1.25755559932858	-0.994773052574338	-0.558905530704845	0.106232084872552	1.38705723785966	-1.43281132695514	-0.635182212971973	0.297908782403798	-2.96982227941947	0
"Orf37or34_35_36_57765"	-0.63652431094231	-16.7137793975273	0.683516115377564	-16.5553953062714	-0.187372805873608	-15.9344691661476	-16.2656468284009	-11.1126579408952	-16.3447635150363	0.403689702693587	-15.2492361281177	-16.0901708006794	-14.754461656966	-15.609796214541	0
"Orf27or26or25_48265"	-0.608631257810337	0.117329693999025	-0.45011309299332	-0.391557177260985	12.7779690907531	0.387162559132214	-1.00988768362839	-1.41505383125204	-0.454023688184563	0.894895761806403	0.530183907580721	-0.541168889523505	0.730691569174056	-0.655758321012534	0
"Orf20orOrf19_35440"	-0.460158535583005	-0.529217952876223	-0.584736543025741	1.04582147940317	-0.500329578337343	0.711577780693716	-1.01056055737945	-0.584686736578817	-0.396605238177514	0.965291241765009	-0.192893295352647	0.980663513446949	1.23324578702464	1.12545336344151	0
"Orf73_LANAor72_vCyc_123511"	-0.38302522230099	-2.13137319096478	-0.0461307099874269	-6.90540248040751	-4.99426342512036	-1.87273590671239	-3.97432475335238	-1.16609591776164	-0.776390297182306	-1.21061897228811	-0.187688561354488	-3.89608916564003	-3.03407740997406	-7.42137075172681	0
"K1_622"	-0.211601568204912	-0.744100843219996	-1.1806984099034	-0.377729762305016	-0.10790011248811	-0.177245232903957	0.139954683754453	5.442551169853	-0.383166483518238	0.647231116595542	-0.24654995172753	-0.409039158729577	0.648905003265838	0.563188038894459	0
"Orf62_100977"	-0.210322293486243	8.5875429820839	-0.606327520682584	10.6218711663171	-0.0995178692699881	0.404680119234364	-0.00450703972818189	14.5461842813322	-0.267829956208217	0.73974504401	-0.358224463583923	0.512131561587168	0.988162401231918	14.8739330633898	0
"vIRF1_K9_84202"	-0.0532072950032223	-0.402514843199622	-0.995391054496931	0.174041147831428	-0.0399373281257951	0.332504387611582	-0.331867399438174	-0.70082952682176	0.175569335935187	-0.896626576674873	0.411813056367706	0.426699589117444	0.485789778921202	-0.27088346462509	0
"Orf18or20or19_33405"	-0.040876799511107	0.478477112630724	0.195659324717443	0.0496406410509103	-0.971405258988518	0.268225110471409	-0.0821837593421009	-0.903833053632912	-0.302315766109814	0.633818008898505	-0.31948448684409	0.645808292822867	0.09146210812726	0.00551051957225113	0
"Orf11or10_9_8_7_6_4_16677"	-0.000184511082615302	-19.007329906665	1.21875849396415	-0.498384439299073	-18.1484658684112	0.0970565203570501	-0.415826317088165	1.71178292765845	0.969550824098384	2.47222666462407	-18.3737065952061	-12.3517832846872	0.669032843750873	-18.4399570550257	0
"ORF6or4_5921"	0.0880197701645038	-0.785941750902705	-1.00812959290703	-0.0617622766610388	11.5277331078779	0.43896103356234	12.3153355334209	-1.19942320666369	0.104354938217554	0.334442690403367	-0.536728509996507	0.911603538816362	-0.128599005556616	0.141583662492277	0
"Orf30orOrf29or31_50984"	0.172881765658204	-0.490213867464924	-0.474695198080916	0.594913536406345	0.235349881497271	13.8367957146111	14.063497039163	-0.812356174015697	-0.144478576960992	0.197310077327678	-0.0503585263188313	-0.477142099219833	0.0483441807937766	-0.252145183398589	0
"Orf73_LANA_124002_2a"	0.17738056476248	15.2414796869194	16.4942868090854	15.1369694414369	14.6655568310128	19.4595792830446	17.0996676990748	14.1002874447681	16.0680742819651	14.8096845837151	-1.07053817534864	-0.0487810516210914	14.8091028176483	0.302876587034788	0
"Orf21_36102_2"	0.222074244098753	-0.89087332670891	-10.6160878684538	0.969838991113779	0.285557734378138	1.395769839432	2.26916497736106	0.0425740435634019	2.21884585852703	0.662002402444717	-3.45187439156393	0.477554318062783	-0.574465536635195	-2.03962751683507	0
"Orf68orOrf69_117120"	0.303498478189795	0.835011803210087	-0.192244745450743	0.082777851844881	17.0380895128103	15.2483415980649	-0.276981796724357	16.0278138380246	0.763762432247162	0.944634936896044	16.6248715600893	0.800565833128971	1.5420641962808	1.00626458063208	0
"K3_18883"	0.333884013757245	-17.3973292734622	-16.7702173218116	-16.4457354253291	-16.3503651959482	-0.746704150379646	-1.27622667911828	-0.725721338977234	-0.266618311206557	-16.9335120861726	-16.9217353573405	-17.1091770347231	-17.0213622503754	-16.6953058107333	0
"Orf24_41630"	0.425088056887823	0.674161811042687	-0.332483750010866	1.08746482085904	0.928616922500296	0.411192681976758	1.00197863355432	10.2811408805974	0.528386479096781	1.06682675394345	0.239323732828339	0.609922216579449	1.53466899293016	1.47349712387494	0
"Orf21_36500_2"	0.431042247456958	1.0652627800129	0.301026160041822	0.1512843478557	0.642020254327363	0.828802753902892	0.427510006351085	-0.598285509549989	0.506864299547004	1.09403127042137	1.19329507135297	1.24571913552678	0.25203386574303	1.30669418947044	0
"Orf61or62_98333"	0.468779110488946	-0.101463189551737	-0.360263311800772	15.5168769108971	14.9562000503142	14.2961768176502	-0.912179204219086	13.8374923130857	0.44223767870929	17.8853724079677	-0.0985068315994653	-0.358208927591605	-0.0724091037511698	1.16534738104912	0
"Orf29_54355"	0.495965201812442	0.0205385451690425	6.95065841211457	0.0972787785325089	11.7174879803618	0.901361210467496	2.02117564767489	1.39846399049813	10.9926486973867	2.34352427804679	6.77696133258401	8.12154028816142	0.28296956472925	4.46240462377759	0
"Orf25_45767"	0.515539242735301	-0.137922097448232	0.0597319352313477	0.176464201607111	-0.41391034238967	0.697776955813417	11.6534392791224	0.188698035063865	0.268097963488003	0.216732107046376	-0.114075118540129	-0.118643081841128	0.493856659087783	0.738411086226414	0
"Orf61or62_98515"	0.516167542963558	-15.4602959522148	-17.0700425128276	-7.43097741461109	1.34849624591036	0.0113524906464377	-16.1466534086222	-17.0714545856513	-16.6075668742539	-15.678957456252	-15.3540493679623	-14.9358841653838	-15.2662047396396	0.861148641906375	0
"ORF16_30403"	0.517631346399639	-0.809156646892667	-1.10614427039926	-0.361619132673511	-1.24334714828417	0.484296618844418	14.2134176886528	-0.682505752585648	-0.478770497941042	0.180141630122293	0.0673247307242235	0.100402309909157	-0.164229546791788	0.772538928685407	0
"Orf10or4_6_7_8_9_15244"	0.66753364398069	-0.99914915755155	-0.854296425848162	0.256787224539714	-0.364943538143166	-0.0922439303839298	14.0672848611685	13.0684199008671	15.2752366684295	14.158647772468	-0.768574031998014	0.590997373767564	-0.0141665111698615	0.303936986503189	0
"vIRF1_K9_84969"	0.835729443969885	0.700567884017733	-0.122625549248799	-0.117751691038702	-0.194142601978633	-0.544112864735578	-0.167106524852194	-1.39851917524602	-0.823008853931054	0.728390425873851	0.574684060681662	0.382066646621578	-0.0476051428312658	0.593443715523772	0
"Orf56_81267"	0.917071136068124	0.335367890953165	-0.0329587972440919	0.15257138987738	0.469016345376147	0.757624714677526	0.983306566806462	-0.0717532049207179	0.132172217919504	0.425351569195158	-0.0920072082655139	0.850000945186082	0.430654857906035	0.148906114179148	0
"ORF70_20979"	1.06511118087654	1.18092831695248	14.1225029703742	1.07737004146348	0.0482777927569487	13.1103195297479	0.614863748332795	-0.400912432499872	0.387306827066055	15.1288109879969	1.23960892588312	1.14347445511413	1.87943892264441	1.66431679573003	0
"Orf73_LANA_124002"	1.13521923458291	15.191619860939	13.0571283432039	14.4476633104623	16.3972773814289	20.1202066257346	14.240084068148	13.93591785626	16.8700072534479	15.5193731599462	0.486610357697955	0.871058153157946	16.2310884762836	16.925579505258	0
"Orf62_100787"	1.14451253167952	-0.266167281012301	0.221172971271947	0.667359449243065	0.188730795640652	-0.46253823498509	-0.404204586606554	-0.717149382772796	-0.18093352911734	0.407624207222611	0.76155510323348	0.129077804589656	1.17469324125335	-0.0510472074407602	0
