"house"	"name"	"K1_348"	"K1_622"	"K2orOrf2_17821"	"K3_18883"	"K3_19081"	"K3_19577"	"K4_21778"	"K5_26200"	"K7_28624"	"K7_28694"	"Orf10or4_6_7_8_9_15008"	"Orf10or4_6_7_8_9_15244"	"Orf10or4_6_7_8_9_15288"	"Orf11or10_9_8_7_6_4_16677"	"Orf22or21_38336"	"Orf34orOrf35_55680"	"Orf36orOrf34or35_56709"	"ORF16_30403"	"ORF17orOrf17.5_31509"	"ORF18_32935"	"Orf18or20or19_33405"	"Orf20orOrf19_34089"	"Orf20orOrf19_34848"	"Orf20orOrf19_35440"	"Orf21_36102"	"Orf21_36500"	"Orf23or24_39603"	"Orf23or24_39786"	"Orf24_41283"	"Orf24_41630"	"Orf25_45767"	"Orf27or26or25_48071"	"Orf27or26or25_48265"	"Orf29_54355"	"Orf30orOrf29_50891"	"Orf30orOrf29or31_50984"	"Orf32or29_30_31_51996"	"Orf32or29_30_31_52828"	"Orf33or29_30_31_32_53424"	"Orf37or34_35_36_57765"	"Orf37or34_35_36_58237"	"Orf40_60631"	"Orf40_62028"	"Orf40_62161"	"Orf42orOrf43_62906"	"ORF6or4_5859"	"ORF6or4_5921"	"ORF70_20979"	"ORF71_vFLIP_122381"	"ORF71_vFLIP_122443"	"Orf73_LANA_124002"	"Orf73_LANAor72_vCyc_123511"	"ACTIN_2"	"B2M_2"	"BACT_2"	"K14_128651"	"K14orORF74_129773"	"K14orORF74_129945"	"K14orORF74_130126"	"K15_130749"	"K15_131458"	"K5_26200_2"	"Orf34orOrf35_55680_2"	"Orf36orOrf34or35_56709_2"	"Orf21_36102_2"	"Orf21_36500_2"	"Orf37or34_35_36_57765_2"	"Orf43_63567"	"Orf43_63853"	"Orf45_46_47_48_68227"	"Orf46_47_48_69318"	"Orf47or48_69773"	"Orf49or50_71851"	"Orf49or50_72352"	"Orf52_77022"	"Orf52_77128"	"Orf54_77844"	"Orf54_78056"	"Orf55_78956"	"Orf56_81267"	"Orf56or57_83216"	"Orf58or59_60_61_62_94692"	"Orf58or59_60_61_62_94950"	"Orf58or59_60_61_62_95417"	"Orf59_60_61_62_95961"	"Orf59_60_61_62_96407"	"Orf60_61_62_97138"	"Orf61or62_98333"	"Orf61or62_98515"	"Orf62_100787"	"Orf62_100977"	"Orf62_101132"	"Orf63_103119"	"Orf65or66_67_67A_112376"	"Orf66or67_67A_112774"	"Orf66or67_67A_113453"	"Orf66or67_67A_114218"	"Orf66or67_67A_114453"	"Orf67or67A_113980"	"Orf68orOrf69_116922"	"Orf68orOrf69_117120"	"ORF71_vFLIP_122381_2"	"ORF71_vFLIP_122443_2"	"Orf73_LANA_124002_2"	"Orf73_LANAor72_vCyc_123511_2"	"vIRF1_K9_84086"	"vIRF1_K9_84202"	"vIRF1_K9_84969"	"vIRF4_86524"	"vIRF4_86975"	"Orf73_LANA_124002_2a"
9.34921523933749	"629"	-35.5697291945157	-33.6202358468607	-18.7651323604217	-22.8612188777543	-35.4996377848286	-19.4389670713667	-21.822178204645	-36.1154110598605	-19.5093699826505	-15.5014596942313	-30.5463995730496	-32.6187739658433	-33.9694195327704	-22.2257204097598	-26.3333851308879	-35.8682987230153	-32.5251232157645	-32.9070505286441	-19.0339219531224	-35.5925675925916	-30.5476056528004	-20.5921409650674	-32.7072695696673	-33.8196494924066	-27.5352039279128	-22.0700525901404	-33.784172477719	-32.3949124669544	-33.7650295919419	-33.5614022484142	-33.3982791927725	-30.7377321370874	-33.9186884096742	-30.0015797130314	-39.9202757686806	-33.1080486093162	-36.2149761257163	-40.0057158706	-36.1250610955778	-24.4637280378087	-21.7750737803842	-33.2220030069255	-36.5003530776025	-37.0799720707296	-20.0293914792483	-33.4307314049674	-25.7541308700952	-32.9925779371077	-21.9297894593423	-22.4783972450747	-39.543719539595	-18.3209741690939	2.65575740602581	3.2865544793222	-10.7885686281448	-31.2408997951043	-38.1985726387552	-31.3142276543241	-34.4086967298211	-16.4249751997092	-17.0634703532635	-12.7782000798455	-30.8772432194016	-39.4392170668821	-23.2835037656323	-32.5978720161081	-32.1328686525707	-35.7861666650726	-37.9864292548763	-18.0077066517695	-39.5256937801597	-34.442899480436	-34.5129067782738	-39.7802420881091	-23.1148199646947	-39.377123867904	-35.6096119046717	-14.4398974858379	-23.9467298908581	-34.9858371140727	-10.9941173511884	-12.8260949181987	-19.2157551964307	-24.1070257201389	-18.3889539631737	-31.1320685090323	-23.6495274612577	-39.5527443601392	-19.0436135509952	-31.584578401839	-36.329180604349	-35.4693800432981	-32.3431193781447	-23.7849811919105	-35.4003325392931	-31.9480502717588	-21.9721032299597	-38.78386399168	-17.4767548787424	-35.2063895495461	-35.48738443062	-19.9301706045131	-18.0656652778297	-38.1200406572612	-18.1464874491657	-22.1148560617627	-31.5993262934589	-30.9103078842936	-31.7583099754021	-32.0961658177038	-39.3838976112626
8.88650256992636	"731"	-23.4285627583856	-34.1527351218758	-17.0847716454805	-40.5924321649738	-36.8969954330892	-19.6804995045758	-40.1136139829936	-20.3513324614648	-37.5843017969428	-18.2141554203814	-30.9563187183081	-34.2854567673756	-36.1561726118385	-41.2328658053423	-36.696111374996	-37.4940665587436	-35.5630352573356	-34.2338385219364	-20.3598405015985	-37.0572248298152	-30.0282517406586	-20.6077376046497	-32.8535748309039	-33.8887089096998	-29.2532154393665	-37.3144709228059	-33.49778273003	-33.0538456398095	-33.398634229325	-33.3123284942593	-34.0517405329561	-30.9684664068082	-33.1927274578648	-30.4770063696748	-22.7363448551456	-33.7711442424394	-36.5911450528802	-39.9125639454048	-37.4844182132085	-40.5409831243936	-39.7388742793014	-33.4052440725106	-36.3294268585359	-35.9595958743025	-33.1987337428595	-33.7464824326589	-26.6280923911624	-32.8767608010318	-20.4644671487603	-20.4394150590677	-25.4873189132388	-20.0693221377577	2.40331042771347	3.28192063694773	-10.4269757769877	-31.1623486373899	-39.5818423266529	-31.576029744297	-36.027198005925	-16.0794661557604	-17.841389490885	-11.4328826014229	-31.6671270329587	-39.0019524212885	-24.3964513364399	-31.9636514835522	-33.0168605502671	-36.3615901414453	-40.0672788959452	-15.1207851546201	-40.9981034968871	-35.6674208617381	-35.7054597704256	-22.9719083117095	-23.4930907633079	-40.4635193076924	-37.2243008519463	-15.034076357426	-24.2431600955255	-35.5675403591876	-23.4832388482818	-24.1197859833371	-32.3858657464295	-40.1179137269416	-35.2450936682107	-31.9587325647906	-25.0687667002455	-40.1229866601798	-35.0200770461735	-32.9952582145308	-27.5313153287789	-35.7486038674687	-32.1930638155225	-31.5344030955039	-35.1281004010203	-32.0567969790063	-39.7490994335019	-38.7411972204577	-32.7400899888551	-35.9999915911971	-34.9558711055997	-19.9722276257635	-17.7120740167474	-25.2654778651187	-18.4879668615729	-35.7418659018796	-31.9486338416553	-31.0454694442458	-32.3207708595519	-32.9771965403281	-24.3197984891058
8.54147961425191	"1314"	-37.5393216849374	-34.5893326885592	-17.9077462192479	-39.9653202133232	-37.6124287548053	-20.2051401722846	-41.3960831640907	-16.7647997278117	-18.0306835738278	-13.1592190398823	-30.4640354282735	-34.1406040356722	-20.5387614127147	-21.0067774047131	-22.7782551598	-19.8586188673036	-22.402033208735	-34.530826145443	-11.8490751459428	-18.788638521474	-30.3110695285719	-17.6379348219374	-33.8470120681742	-33.9442274998493	-39.9337077360321	-36.4127124697458	-33.8704855376599	-34.5552655439025	-33.2041689575512	-34.3189740553129	-33.8540865002765	-31.604260823558	-33.7601702448572	-23.5468865027293	-40.7501199144602	-33.7556255730553	-20.8124773151362	-40.9477669067923	-22.0649349292469	-23.1436876114888	-22.2801132307928	-34.2971428077123	-21.2852593284098	-37.4318362720845	-21.87011931118	-33.8443783832464	-26.8502802331668	-19.93518614761	-20.0113732987631	-18.7723987360073	-27.6218104309739	-17.9840796567804	2.41623977950484	2.9969735930158	-9.80756127359732	-32.7730523637155	-20.5713967022017	-16.6582403471722	-20.3201177698295	-15.3414720155326	-15.2444854099294	-8.36539832443117	-31.8762116822731	-39.9611321772392	-34.1216658781848	-32.7278881035232	-19.4261820167451	-20.9182018377158	-22.0875097674475	-11.4366548338307	-40.6423682873064	-35.4597901132067	-18.8249076001137	-23.656135417987	-15.525676658236	-41.1277811673464	-37.4907619083209	-6.69836474372467	-23.9940069059882	-35.9358670473849	-11.2031674968588	-13.5260671569895	-17.3771859902514	-27.0481769240172	-20.6999819751086	-17.0793438469673	-18.0219986466179	-40.3817867824289	-36.6298236067863	-32.5079179622465	-36.7251858315454	-36.2166728747735	-33.0930334429943	-24.3341444925605	-20.3928577240319	-17.3771859902514	-22.7973661737186	-23.3231857339195	-33.2890298498286	-21.1500052366164	-35.9831276542606	-18.5557550547651	-16.3113380715645	-24.1907880082509	-17.2569574761955	-36.1280011736128	-32.5415100529526	-31.8686628775123	-32.4403750421193	-33.3195726999373	-23.0669913669397
9.37113637549128	"1700"	-36.097677976723	-33.7863640409608	-21.8884412272023	-39.6408383168407	-35.5770882288312	-19.0053766856836	-39.5607807268917	-26.4109970501601	-24.8224335922826	-15.5260899316652	-29.5360167141029	-33.0295203852843	-36.6409100476446	-22.7239203379763	-36.9826589943758	-37.0606769613983	-21.8190611536082	-33.7863010077172	-19.5122251811069	-36.5433100789854	-30.4570882122384	-21.4181985061754	-33.3804716040397	-32.3136694774204	-27.8872015957717	-35.831018331781	-32.5981305263403	-32.5698152399687	-32.8522368678589	-32.899025484443	-33.7373542339007	-22.7855045784426	-33.7016143291248	-30.4002661363114	-39.1388211881955	-32.6860168385681	-36.973426163308	-38.7309969548857	-20.928384580444	-40.3825990331377	-39.7402216721168	-33.0286641978635	-35.7053290376742	-36.4751365568771	-32.8961958270629	-33.6574198053567	-25.9039129169208	-32.9803190765208	-25.5935537965708	-20.1150321695082	-26.2312754637155	-24.8433514272004	2.53499825179113	3.37105469020778	-10.6924599951399	-31.5596910855533	-38.2155380719601	-31.1481927237603	-34.3516891362239	-18.8762125064366	-19.070185717643	-11.660684516362	-31.3363096433517	-39.392903597594	-22.5357390186172	-32.8776299157094	-20.222112508997	-34.7275118821259	-39.315631281807	-12.2414094313947	-39.9330503623798	-34.4040798949513	-34.4746092425053	-40.1924697579989	-23.4206400475739	-40.5089506957109	-35.8270941329671	-15.0053603466548	-23.0499577873702	-35.7503368602634	-9.63114074114473	-12.7802263628683	-19.0955427379728	-27.7984973905866	-20.0642984250756	-16.1979726208408	-24.0345743390543	-24.504646559731	-26.9907585085698	-32.0617314842754	-25.4969871445457	-35.2692985285239	-22.9364651787802	-31.0285790092034	-30.2874489807887	-32.7162197766695	-38.9186827561245	-39.0810004506671	-31.5159458492968	-21.9112581300738	-35.708105056965	-21.1702164128413	-19.8379963453349	-24.6055708728202	-21.8019751087994	-35.6701784206313	-31.3720778506243	-31.8637890193022	-32.8872043397372	-32.119696840169	-24.4243087345882
8.69441598970211	"2572"	-37.6869918911393	-33.5165343911439	-32.9852389137872	-39.5454680874598	-36.4023247698416	-19.73494922732	-40.3250583864317	-22.4926080437817	-37.6991504714979	-16.5209113703036	-17.5861400482479	-33.6512511479672	-36.7693511372499	-40.3740017670884	-37.3526666188356	-37.3942199886543	-33.192428683697	-34.6680290233279	-20.1894049456899	-36.3083159722834	-31.4781341122779	-28.959806646761	-34.2669499821083	-33.8598205351609	-30.9676857216423	-37.0604155952965	-33.4299022816918	-33.5796072852776	-20.9231665379302	-33.0578733828017	-34.3277287778975	-30.3781822567956	-20.5320880611107	-18.7800569344821	-40.9757946266605	-33.0455804934772	-36.4350830039984	-22.4832900020214	-36.9777886866596	-24.01457653274	-21.6286184499924	-34.2734693819223	-36.766486788936	-37.313109690288	-20.6841907288837	-18.964858483658	-14.3144175323819	-34.0094113252273	-22.6025239180939	-20.3822224366168	-24.281661392749	-22.9322123719133	2.29883455211373	3.25754597700467	-10.2069095969278	-31.296431210833	-39.6130829535179	-31.2102068076652	-36.0933328418633	-17.3707342661541	-19.2134797726146	-19.0437320218781	-31.9520631591617	-40.8922372213836	-23.2200202753529	-32.3868940092377	-19.371536963599	-34.9873537375701	-38.8260230788327	-14.0436585184843	-24.7886042448219	-35.985387401312	-31.4855349906535	-40.2948443162927	-24.7581684731514	-41.0745627468825	-36.3522464699703	-15.4403075077147	-23.7584882420159	-35.4338919047647	-11.7327325679419	-13.3791176363335	-19.7647022528155	-25.2527783456471	-20.1025236573105	-17.5765321729552	-25.220882473427	-25.0653234203139	-18.2112848480484	-32.5403601378778	-36.2183761801328	-20.8703342850024	-32.4125525970497	-31.4894096659991	-21.5815693927591	-33.1545809786669	-22.8722849410221	-39.3038881556753	-32.3440864810369	-19.8924994636048	-18.7527933959995	-19.8488224698673	-17.5889541287613	-23.7398872153535	-18.3163536707852	-35.0746818335729	-31.5860563265815	-31.9401799302421	-17.8064366776795	-16.7857190999059	-24.8957213450124
9.07878448389474	"2741"	-36.8881861994766	-33.5858795115598	-19.0124364246664	-23.9418070418912	-20.814309829051	-19.3840437945694	-26.0473225702133	-22.8962095717117	-38.4880658689992	-15.1977568420923	-18.1655357875214	-33.378551540208	-37.2085762790635	-22.1284793783202	-36.2341871739395	-20.8060154077655	-32.8010189240773	-32.9403852561993	-10.5418212524755	-37.1704579292894	-30.2385037428179	-22.3580977513172	-33.8457580774498	-32.6479131761299	-34.4845073606878	-36.0384491796916	-33.3905814420821	-18.5421937036395	-33.2650448713316	-33.5752976233252	-33.2160414796944	-30.7995251125371	-32.9228945927316	-29.5961837043764	-39.383591843398	-19.4441346603633	-35.9199571342983	-39.3923894224252	-22.0335897580196	-39.761672893014	-24.0664466432288	-33.9789473111784	-36.4422194975187	-37.108969407075	-33.4084034611989	-33.2289904731161	-25.4031896066974	-20.9473695882364	-19.9403838661419	-19.4191700790713	-20.5587321484432	-19.8106848535053	2.42287409542213	3.31900644558128	-10.4407702431614	-31.7323676640298	-39.2102050017918	-31.4486164442279	-33.2112909015187	-16.7762281264879	-17.2611611545038	-11.180732139513	-16.9409791350251	-28.3675684576751	-22.109808170299	-32.2001115096622	-18.8661945342629	-34.7577558947827	-39.0412051911842	-19.3168873984301	-39.9492472057728	-20.1222660197978	-19.8717172886563	-40.1439364644271	-13.5814609119677	-39.3116272194492	-36.2797572351717	-14.5426986571614	-23.3846752960724	-35.1452835354633	-10.6778363368043	-12.9887622873467	-18.707416244387	-23.8507973996454	-18.6917135871508	-17.7979616960117	-19.437719016728	-25.7253466529779	-19.5484286033123	-33.1916291685036	-35.7141781916284	-35.6171151661108	-32.722254493312	-31.0665210233067	-21.5204895839104	-32.8058809614347	-39.7243003236495	-37.0311949025323	-32.4109108097349	-20.5879712013566	-20.542541310745	-19.8325276678152	-17.1075990289655	-19.6134361843982	-17.0025302062287	-36.1249919181339	-31.2136146108441	-32.2901501929991	-18.578881438297	-31.8692906914912	-20.1016988929805
8.72731852849546	"2858"	-36.0707551207877	-33.2686795949013	-18.6546838499923	-24.4713295706299	-21.7712685382918	-19.7982782701232	-23.9865028994815	-20.8837654607432	-38.6507519417975	-15.5802570465501	-19.0060761300528	-19.2190227486555	-37.0544677146322	-22.6413622157654	-37.0116428607948	-20.4524555538971	-22.971666206961	-19.2112641863909	-12.0298786239966	-37.5305438338869	-30.5889126126314	-21.1215309111173	-33.0000470333028	-34.370051514203	-31.3265076441956	-36.3758614886389	-33.7387998486477	-32.9748478802357	-33.4396190701029	-32.9845116717477	-22.2603791563854	-30.6587987898068	-34.3199448354922	-28.476369267169	-41.0107648174751	-19.2174333358114	-36.3203207019437	-40.0698264333398	-21.7961518021483	-40.0928505552672	-23.2516420432552	-33.7300142832739	-21.1077148354517	-36.5783154487273	-21.9386740001149	-33.7009052822883	-13.5268151068388	-33.4428253696515	-20.7491976540047	-19.921984121809	-26.4388547060299	-21.9122737001453	2.47191421830628	3.10771761758121	-10.1822501133402	-32.619240577207	-22.4187267540681	-32.0919963082018	-36.2484867064995	-17.3701605958951	-16.9983786077496	-10.3587745552587	-31.9635194099534	-34.4464441359117	-21.23641303237	-32.601404257214	-18.7488864909809	-36.0134850119482	-39.0897038328962	-12.7774638920958	-40.7114461400398	-35.8992513523434	-20.1908543755211	-40.9253273278548	-24.1072130861831	-39.7626552119561	-36.6811934181337	-15.0215144667431	-24.4217941324686	-34.9196016833343	-10.3827219744353	-13.2264780016571	-17.1913470760079	-26.3713846339008	-19.689756913238	-19.2502069754368	-25.1736759543599	-40.9337026748472	-35.7064345025809	-33.133295520125	-36.123365350591	-36.1466789400946	-32.2848586439015	-31.1838954400176	-22.0659287505161	-17.7130471713144	-38.9577550772751	-39.0210941171624	-32.2329228061719	-36.568315081697	-36.0678647055342	-19.1586454808228	-17.1600229504216	-23.0058919296257	-18.7360552914733	-36.238659852447	-31.8779863978939	-31.9131438531157	-32.7773900623774	-33.4309938476025	-22.4616104769503
8.2094844286003	"2910"	-37.8591499704168	-27.9660831088028	-16.8675577271487	-23.9208242304888	-37.4901172705406	-20.2435116443153	-40.8071112531439	-20.5223909043752	-38.153595046443	-16.61015625591	-31.0024226532661	-20.217887708957	-38.1469898391994	-20.5137529710188	-37.2261311551942	-30.1403568815318	-28.1912079254091	-34.1071876276294	-20.7903400176826	-37.1920142072377	-31.4105619069222	-25.5786114117465	-34.910928831596	-33.9441776934024	-29.2091044586681	-36.9658053419523	-34.6838918706336	-33.79324844159	-34.7207998046393	-23.7053494247046	-33.725120400444	-31.2273625467598	-34.7251109831159	-29.0990809243458	-23.5736139124771	-34.0932865489901	-37.3359958355988	-24.0276581744924	-37.4579893920959	-34.9398616677615	-22.4874688151069	-19.2727336117456	-36.9025466423465	-37.6267543161975	-33.6439720706627	-34.5378525336639	-27.0415738469234	-34.4586015504841	-20.1281459750201	-19.8255230436833	-26.7430209179178	-19.1040448645546	2.23693753619878	2.96285480308748	-9.4471398219716	-31.6940836577704	-40.0795296767291	-31.750701431467	-36.027534243072	-16.8615531198233	-16.5625110858801	-11.8404922770122	-32.0396211665198	-28.5941659118269	-23.4630039661676	-33.6271997731151	-19.2440379780367	-35.9165171794606	-22.366922997079	-12.5649017071045	-25.3538736310666	-20.4985508299427	-18.7285452776846	-25.5413285563998	-13.8041806494938	-23.3275751524643	-20.8637712818419	-15.8498816324655	-24.3534067552594	-35.9746614550615	-10.1462123702674	-13.3132585563734	-17.6713768211707	-26.7731752085897	-20.151015493198	-18.2609338129073	-24.6637019497753	-26.1840311575424	-36.63123567961	-33.4462403162913	-21.5726740295305	-35.9513751614427	-32.7370580319727	-22.3242131968954	-20.4096464414731	-33.1635423055535	-22.4896142277926	-40.8538511897082	-33.3543287890171	-37.6016606067171	-19.7630690707852	-18.9578595151102	-16.9181286397585	-23.602598963551	-18.4860787636766	-37.0277383676569	-32.2469485252775	-33.1445565035095	-33.7430781037751	-33.9258613565484	-25.460990731257
8.62407331303613	"2969"	-37.3966871189447	-33.791800762174	-15.6897880331773	-23.4617212027181	-37.7210444286183	-20.6670981496641	-39.916445372779	-20.1243908625104	-21.5104552911703	-16.8628037262312	-30.2589605356659	-18.0110709413946	-36.4297961033884	-21.2559850745788	-37.4307335632039	-37.3032006301895	-33.3507240532511	-33.9034523729847	-20.4382334811339	-37.2059012725722	-30.8090446193991	-27.5013446580679	-33.6083719141764	-33.7560961950011	-30.263482304282	-36.8257984494015	-33.2307328838433	-34.3292269350489	-33.5328021562418	-33.4581038262052	-33.6457204720198	-30.4983994155217	-33.7640808400484	-19.5048962174572	-23.8623484927317	-33.4254089519354	-36.3250689984525	-40.3273136968765	-36.6753908469846	-40.1719672419026	-39.5643672145287	-33.6973780772416	-36.244851276606	-22.3390013457392	-33.13988219615	-33.9265558557996	-25.7377957020422	-33.6703822909182	-19.8122007407235	-19.3308087012448	-23.8089315207299	-18.7143392439752	2.40371328469674	3.04702617293949	-9.8650995133097	-31.563411953024	-22.0049160686633	-18.2526728668703	-36.2092323614895	-15.8407979503675	-15.8973734703027	-12.6113006418183	-32.0495513334155	-39.5962658832643	-21.286732151204	-32.5220499640181	-32.6580273967092	-35.1112576294799	-39.0372026808732	-13.2219598308217	-40.5010420393646	-20.1728663339765	-19.5828644832238	-40.6202697066618	-24.1685381272097	-39.9479115074283	-36.5158446983246	-15.5097075530423	-24.7001815643486	-35.7707360322213	-24.5307342247324	-23.8921054269906	-33.0642735619524	-41.0941006214613	-19.0575203695398	-17.6468748496212	-25.441757387833	-39.5792857919188	-36.1673479682126	-32.9100244626358	-36.386688267071	-35.0441084782941	-32.6944807149496	-28.7107654819552	-35.2551192464129	-32.462007732846	-39.7979048162951	-39.1532025377132	-33.5988192427672	-21.3559184700311	-35.0271204765627	-19.6299643884228	-16.4873753210554	-23.7576479359994	-16.7460062693306	-35.9189071468655	-31.3705496625205	-32.5690461821945	-17.740683677309	-32.7353937452137	-23.49320389406
9.51695204361049	"3544"	-36.0584801894519	-32.7614031620603	-15.1515185676397	-40.1286149776842	-20.6000916440437	-10.7426590050494	-22.3628821604625	-18.3274202118165	-19.598534530502	-13.2777038898347	-15.8789547352624	-19.127659837356	-21.0148127083188	-19.7533092340532	-22.5990471738495	-20.1604873159122	-32.8509610938347	-33.2445402449214	-10.6850437719741	-21.0645792360318	-29.8729108443908	-24.9803623268097	-32.6644521325567	-32.3941997150586	-33.6536410069191	-35.5885680799081	-32.4675134387424	-32.4952846307853	-33.5046349918728	-32.9196635513585	-33.6970863284615	-21.2587729937152	-32.4151613900574	-28.1540206367971	-39.5624278027677	-33.0836202976468	-36.84799662807	-21.108778570761	-22.723463493132	-23.4235140241728	-20.4855805640732	-32.3143685348279	-35.9538645674081	-35.6735205205836	-33.5130767101785	-33.8155408675469	-25.5077079498564	-18.9288781299874	-19.161447333218	-18.9988081766894	-25.1595656142316	-19.1485679190811	2.7108518757816	3.34415211206726	-11.0000123633332	-30.9689827157065	-20.7702546239584	-16.946078417199	-34.6871626783659	-14.7054527057852	-14.6165483173156	-11.0898021578581	-31.0030782726585	-40.3381501640369	-22.8435756072863	-31.9348829931437	-18.4960748130653	-35.454983692548	-39.0677294197141	-23.284336833131	-22.6538837135808	-19.3769742090053	-19.2072476491997	-22.6806629886284	-13.8138210891969	-22.1897096127556	-35.1272499749214	-14.2832312098609	-22.9436340869003	-35.4775566809457	-9.83854950588044	-10.9760519167692	-16.356348335214	-21.9754754123748	-17.7605307822855	-16.7761594611413	-24.4596259282088	-22.1361510626604	-35.2387385502108	-32.3214667262959	-35.3791132668528	-34.2900751524941	-32.5758619948163	-22.9597319055013	-18.5606702785118	-17.8987660082941	-41.4619920886659	-22.6018594253246	-19.4336228104278	-20.5784425123363	-34.8462479719138	-18.4391212404013	-15.8450453216226	-24.678846688118	-16.9846379374601	-34.9905153440759	-32.4427455751306	-31.0176469023896	-17.4224311386664	-24.0629259365628	-24.75159359231
