"eff.sorted._1."	"X629"	"X731"	"X1314"	"X1700"	"X2572"	"X2741"	"X2858"	"X2910"	"X2969"	"X3544"	"X3937"	"X4428"	"X4678"	"X5485"	"X7121"	"X8239"	"filename"
"K1_348"	44.9189444338532	32.315065328312	46.0808012991893	45.4688143522143	46.3814078808415	45.9669706833714	44.7980736492831	46.0686343990171	46.0207604319808	45.5754322330624	46.0959092976311	45.1578766172742	46.2593358621907	45.2466477601807	46.3470113857781	46.0041838837708	"a.xlsx"
"K1_622"	42.9694510861982	43.0392376918021	43.1308123028111	43.1575004164521	42.210950380846	42.6646639954545	41.9959981233968	36.1755675374031	42.4158740752102	42.2783552056707	42.7850150663923	42.1246230137851	43.1955426222928	42.3028788279812	42.2729294126329	42.1123665008921	"a.xlsx"
"K2orOrf2_17821"	28.1143475997592	25.9712742154068	26.4492258334998	31.2595776026936	41.6796549034894	28.0912209085612	27.3820023784877	25.077042155749	24.3138613462135	24.6684706112502	25.9635653183408	41.7112199521253	26.9734308339889	25.4239425237197	28.507501350126	24.9845353909568	"a.xlsx"
"K3_18883"	32.2104341170918	49.4789347349001	48.5067998275751	49.011974692332	48.2398840771619	33.020591525786	33.1986480991253	32.1303086590891	32.0857945157543	49.6455670212947	49.2466690848611	48.086236598712	49.6821491111421	49.7596146944783	49.3178918751164	31.8988351137479	"a.xlsx"
"K3_19081"	44.8488530241661	45.7834980030155	46.1539083690572	44.9482246043225	45.0967407595437	29.8930943129457	30.4985870667873	45.6996016991409	46.3451177416544	30.1170436876542	45.6225282871499	45.0458600386137	45.3370938261944	31.4607399359054	45.7696887412363	46.1795110594386	"a.xlsx"
"K3_19577"	28.7881823107042	28.5670020745022	28.7466197865366	28.3765130611749	28.4293652170221	28.4628282784642	28.5255967986187	28.4529960729156	29.2911714627003	20.2596110486599	29.1922356445181	29.0868856653636	28.5363368793502	19.1963481109975	28.8684363815166	26.9147398598987	"a.xlsx"
"K4_21778"	31.1713934439825	49.0001165529199	49.9375627783426	48.931917102383	49.0194743761338	35.126107054108	32.713821427977	49.0165956817442	48.5405186858151	31.879834204073	49.3502945173636	48.4251579681956	48.6719577497341	32.1219595271419	48.7600818518159	48.6507149250296	"a.xlsx"
"K5_26200"	45.464626299198	29.2378350313911	25.3062793420636	35.7821334256514	31.1870240334839	31.9749940556064	29.6110839892387	28.7318753329755	28.7484641755465	27.8443722554269	30.4156428539323	46.2165631262973	29.3622513506736	30.5400591732148	45.5252640776759	28.9475302863986	"a.xlsx"
"K7_28624"	28.858585221988	46.4708043668692	26.5721631880797	34.1935699677739	46.3935664612	47.566850352894	47.3780704702929	46.3630794750433	30.1345286042064	29.1154865741125	29.8947540088902	46.7515339650388	46.4180403507777	29.3638245478328	47.6203903174649	47.4352507015076	"a.xlsx"
"K7_28694"	24.8506749335687	27.1006579903077	21.7006986541342	24.8972263071564	25.2153273600057	24.2765413259871	24.3075755750455	24.8196406845103	25.4868770392674	22.7946559334452	42.1304032943483	42.9610087932077	25.3472229185042	22.5386233787128	27.8609970922402	22.1351781409527	"a.xlsx"
"Orf10or4_6_7_8_9_15008"	39.895614812387	39.8428212882345	39.0055150425254	38.9071530895942	26.28055603795	27.2443202714162	27.7333946585482	39.2119070818664	38.8830338487021	25.3959067788729	39.0894442427899	39.4543135716859	27.2730893530122	39.6456166332915	39.879324793045	31.2863762356548	"a.xlsx"
"Orf10or4_6_7_8_9_15244"	41.9679892051808	43.1719593373019	42.6820836499241	42.4006567607756	42.3456671376693	42.4573360241027	27.946341277151	28.4273721375573	26.6351442544307	28.6446118809665	43.184712477831	42.506645387649	42.0731794209639	42.8436236735852	42.4098537961924	41.9900398320604	"a.xlsx"
"Orf10or4_6_7_8_9_15288"	43.3186347721079	45.0426751817648	29.0802410269666	46.0120464231359	45.4637671269521	46.2873607629582	45.7817862431276	46.3564742677997	45.0538694164245	30.5317647519293	45.3584543047281	45.9549818780433	46.3270258357472	44.8689399600267	45.3625796251777	45.3993706774534	"a.xlsx"
"Orf11or10_9_8_7_6_4_16677"	31.5749356490973	50.1193683752686	29.548257018965	32.0950567134676	49.0684177567905	31.2072638622149	31.3686807442608	28.7232373996191	29.880058387615	29.2702612776636	49.7290733298923	49.7447601423757	43.9551883682718	31.0996526075176	50.0929761265745	30.9292681209136	"a.xlsx"
"Orf22or21_38336"	35.6826003702254	45.5826139449223	31.3197347740519	46.353795369867	46.0470826085377	45.3129716578343	45.7389613892902	45.4356155837945	46.05480687624	32.11599921746	45.1283258280006	45.0120059564842	45.1527419741326	45.5232293539313	46.0668496669781	45.7160570930321	"a.xlsx"
"Orf22or21_38857"	33.709225533927	49.5760935608584	50.0135934347016	48.753357625134	48.9742590376838	49.3889191603903	49.9892068073958	49.1544729434612	49.441564649036	32.4268580821176	48.7932888683246	50.0617576212596	48.6079894330701	49.0596132058132	49.5387314617712	49.3275850273645	"a.xlsx"
"Orf34orOrf35_55680"	45.2175139623528	46.3805691286699	28.4000984815555	46.4318133368896	46.0886359783564	29.8847998916602	29.1797740823926	38.3498413101321	45.9272739432257	29.6774393595227	45.2326586218365	45.8975798611812	44.867477633729	45.8456328704679	45.6161203960356	28.541103643409	"a.xlsx"
"Orf36orOrf34or35_56709"	41.8743384551019	44.449537827262	30.943512822987	31.1901975290995	41.8868446733991	41.879803407972	31.6989847354565	36.4006923540094	41.9747973662872	42.3679131374452	29.8411405425467	36.3986463771616	41.6863525813862	42.3060479924044	41.7633487513676	26.1331610537932	"a.xlsx"
"ORF16_30265"	49.6802126886691	49.7537526340235	48.664940530914	49.2510476097655	49.5528857934189	48.7655206406863	48.8026009216949	49.1613230087217	48.1949066475752	48.8413985053061	48.8203949963667	49.1820010887084	49.1726875500384	48.8794020421734	48.2554295007399	48.6283230226706	"a.xlsx"
"ORF16_30403"	42.2562657679816	43.1203410918627	43.0723057596949	43.1574373832085	43.36244501303	42.019169740094	27.9385827148864	42.3166720562296	42.5275256860209	42.7614922885319	42.4871879803284	42.8875945344545	42.7021487500419	43.1320609744268	42.0796261192298	42.1284140972801	"a.xlsx"
"ORF17_31829"	46.7508447503862	47.4761003333068	47.1407550054585	47.3290276383092	47.6896347910419	46.4455885497087	47.8190064038754	46.3784706381769	46.7524358697111	46.3181460105583	46.7583838127401	47.4336309816765	34.0993728053282	30.3914299563309	47.9357726193411	47.2029230300552	"a.xlsx"
"ORF17_32510"	31.320151250395	49.1618169405879	49.2195254735539	48.5518362554855	49.3078530358167	39.8401582846838	48.1214641884187	48.2585625657751	49.181126052761	48.3470638702906	43.2580003784048	48.1101257687598	48.7020063434202	48.9532548790464	48.5540586497715	30.2072976670239	"a.xlsx"
"ORF17orOrf17.5_31509"	28.3831371924599	29.2463430715248	20.3905547601947	28.8833615565982	28.883820935392	19.6206057363702	20.757197152492	28.9998244462829	29.06230679417	20.2019958155846	29.0381727684014	28.8324244461692	28.3635646022926	20.327701778658	28.9266966405363	18.2954553756383	"a.xlsx"
"ORF18_32935"	44.9417828319291	45.9437273997416	27.3301181357259	45.9144464544766	45.0027319619855	46.2492424131842	46.2578623623824	45.401498635838	45.8299745856083	30.5815312796423	45.1883174284821	45.8343489418219	45.9698385974446	31.6598060467574	45.8717670084554	27.9521997321385	"a.xlsx"
"Orf18or20or19_33405"	39.8968208921379	38.914754310585	38.8525491428238	39.8282245877297	40.17255010198	39.3172882267127	39.3162311411269	39.6200463355225	39.4331179324353	39.3898628880013	39.9560441761424	40.1790958811536	39.2387897453739	39.9584162977533	39.9287015065886	39.2104610755257	"a.xlsx"
"Orf20orOrf19_34089"	29.9413562044049	29.494240174576	26.1794144361893	30.7893348816666	37.6542226364631	31.436882235212	29.8488494396127	33.7880958403467	36.125417971104	34.4973143704202	33.1174217956034	29.008579659417	33.6955890755546	28.5768814237201	29.972191792669	26.9657219369229	"a.xlsx"
"Orf20orOrf19_34848"	42.0564848090048	41.7400774008302	42.3884916824261	42.751607979531	42.9613659718104	42.9245425613446	41.7273655617982	43.1204132601963	42.2324452272126	42.1814041761672	42.3354164772101	42.2711895292504	42.6700156034046	42.0641412713584	42.4588223295614	27.2278244371674	"a.xlsx"
"Orf20orOrf19_35199"	46.2985998701029	45.2088515693411	45.9732093762727	45.0418899441778	45.8786503846079	45.8478913320885	44.8791748803006	46.3971547295518	45.6074928329062	46.2762694417039	45.2995148805517	45.9144741899194	44.9999941258991	45.6866217714793	46.0297869634811	46.2202758209618	"a.xlsx"
"Orf20orOrf19_35440"	43.1688647317441	42.7752114796262	42.4857071141012	41.6848058529117	42.554236524863	41.7266976600246	43.0973700426985	42.1536621220027	42.3801695080372	41.9111517586691	42.6822150881852	41.7109222525356	41.756696628284	41.6693947223902	41.6615207662536	42.0632231790599	"a.xlsx"
"Orf21_36102"	36.8844191672503	38.1397180092928	48.475187350284	37.2583379712629	39.6621017113444	43.5632918445825	40.053826172691	37.4185888872684	38.8875556173182	43.1705930505296	39.9647978860214	45.9940321553298	50.1503588240048	39.7244215120132	40.7827064008186	37.516520002605	"a.xlsx"
"Orf21_36500"	31.4192678294779	46.2009734927322	44.9541920839977	45.2021547072723	45.7548315849986	45.1172336635863	45.1031800171344	45.1752897705526	45.4498717624376	45.1055201235186	45.4480431528656	46.1512655439243	45.7836471160233	44.8308843022642	45.1049361253807	45.8346963592479	"a.xlsx"
"Orf23or24_39603"	43.1333877170565	42.3842852999563	42.4119651519118	41.9692669018316	42.1243182713939	42.4693659259769	42.4661183771432	42.8933762992339	41.8548061968794	41.9844654823529	41.9398164723518	41.8184486833924	42.8386000385311	42.9813137468769	42.1197925730276	25.3699802442576	"a.xlsx"
"Orf23or24_39786"	41.7441277062919	41.9403482097358	43.0967451581544	41.94095161546	42.2740232749797	27.6209781875342	41.7021664087312	42.0027328701903	42.953300248085	42.0122366743958	42.1738807038006	42.5495352471767	42.6683844199544	42.1274853128834	41.8741617995793	26.1331610537932	"a.xlsx"
"Orf24_41283"	43.1142448312794	42.2851367992513	41.7456485718032	42.2233732433502	29.6175825276323	42.3438293552263	42.1669375985983	42.9302842332396	42.1568754692779	43.0215870354833	42.2120939874783	42.1785153211862	42.2044838513719	42.2417789059823	41.8136330152127	28.2916522322776	"a.xlsx"
"Orf24_41630"	42.9106174877517	42.1988310641857	42.8604536695648	42.2701618599342	41.7522893725038	42.65408210722	41.7118302002431	31.9148338533049	42.0821771392413	42.436615594969	42.8769974084826	41.7405298700466	42.7544372736299	41.9949708649631	41.9404763542986	42.6902225275383	"a.xlsx"
