type,Date,Array,Primer,Type,Gene,Concat,Good,Plate,629,731,1314,1700,2572,2741,2858,2910,2969,3544,3937,4428,4678,5485,7121,8239
CT,112511,KSHV dream array,Orf 36 or Orf34 or 35 (56709),KSHV,Orf 36 or Orf34 or 35,KSHV dream arrayOrf 36 or Orf34 or 35 (56709),good,PP1,60,57.82,40.14,40.46,60,60,41.12,47.85,60,60,38.71,46.94,60,60,60,33.9
CT,112511,KSHV dream array,ORF16 (30265),KSHV,ORF16,KSHV dream arrayORF16 (30265),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,ORF16 (30403),KSHV,ORF16,KSHV dream arrayORF16 (30403),good,PP1,60,60,60,60,60,60,36.01,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,ORF17 (31829),KSHV,ORF17,KSHV dream arrayORF17 (31829),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,39.82,35.49,60,60
CT,112511,KSHV dream array,ORF17 (32510),KSHV,ORF17,KSHV dream arrayORF17 (32510),good,PP1,35.18,60,60,60,60,44.75,60,60,60,60,49.09,60,60,60,60,33.93
CT,112511,KSHV dream array,ORF17 or Orf17.5 (31509),KSHV,ORF17 or Orf17.5,KSHV dream arrayORF17 or Orf17.5 (31509),good,PP1,60,60,38.93,60,60,37.46,39.63,60,60,38.57,60,60,60,38.81,60,34.93
CT,112511,KSHV dream array,ORF18 (32935),KSHV,ORF18 ,KSHV dream arrayORF18 (32935),good,PP1,60,60,32.95,60,60,60,60,60,60,36.87,60,60,60,38.17,60,33.7
CT,112511,KSHV dream array,Orf18 or 20 or 19 (33405),KSHV,Orf18 or 20 or 19,KSHV dream arrayOrf18 or 20 or 19 (33405),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf20 or Orf19 (34089),KSHV,Orf20 or Orf19,KSHV dream arrayOrf20 or Orf19 (34089),good,PP1,38.84,38.26,33.96,39.94,48.16,40.78,38.72,43.83,47.11,44.75,42.96,37.63,43.71,37.07,38.88,34.98
CT,112511,KSHV dream array,Orf20 or Orf19 (34848),KSHV,Orf20 or Orf19,KSHV dream arrayOrf20 or Orf19 (34848),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,35.32
CT,112511,KSHV dream array,Orf20 or Orf19 (35199),KSHV,Orf20 or Orf19,KSHV dream arrayOrf20 or Orf19 (35199),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf20 or Orf19 (35440),KSHV,Orf20 or Orf19,KSHV dream arrayOrf20 or Orf19 (35440),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,"Orf21 (36102,2)",KSHV,Orf21,"KSHV dream arrayOrf21 (36102,2)",good,PP2,43.16,44.02,55.87,42.2,42.21,41.25,39.63,41.89,39.56,42.8,47.17,60,42.86,44.47,46.31,42.6
CT,112511,KSHV dream array,Orf21 (36102),KSHV,Orf21,KSHV dream arrayOrf21 (36102),good,PP1,41.43,42.84,60,41.85,44.55,47.97,44.99,42.03,43.68,47.94,44.89,52.07,56.94,44.62,45.98,42.14
CT,112511,KSHV dream array,"Orf21 (36500,2)",KSHV,Orf21,"KSHV dream arrayOrf21 (36500,2)",good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf21 (36500),KSHV,Orf21,KSHV dream arrayOrf21 (36500),good,PP1,37.88,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf23 or 24 (39603),KSHV,Orf23 or 24,KSHV dream arrayOrf23 or 24 (39603),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,32.91
CT,112511,KSHV dream array,Orf23 or 24 (39786),KSHV,Orf23 or 24,KSHV dream arrayOrf23 or 24 (39786),good,PP1,60,60,60,60,60,35.83,60,60,60,60,60,60,60,60,60,33.9
CT,112511,KSHV dream array,Orf24 (41283),KSHV,Orf24,KSHV dream arrayOrf24 (41283),good,PP1,60,60,60,60,38.42,60,60,60,60,60,60,60,60,60,60,36.7
CT,112511,KSHV dream array,Orf24 (41630),KSHV,Orf24,KSHV dream arrayOrf24 (41630),good,PP1,60,60,60,60,60,60,60,41.4,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf25 (45767),KSHV,Orf25,KSHV dream arrayOrf25 (45767),good,PP1,60,60,60,60,60,60,39.94,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf25 (46047),KSHV,Orf25,KSHV dream arrayOrf25 (46047),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf26 or Orf25 (47305),KSHV,Orf26 or Orf25,KSHV dream arrayOrf26 or Orf25 (47305),good,PP1,36.11,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf27 or 26 or 25 (48071),KSHV,Orf27 or 26 or 25,KSHV dream arrayOrf27 or 26 or 25 (48071),good,PP1,60,60,60,44.71,60,60,60,60,60,42.79,60,60,60,60,60,43.18
CT,112511,KSHV dream array,Orf27 or 26 or 25 (48265),KSHV,Orf27 or 26 or 25,KSHV dream arrayOrf27 or 26 or 25 (48265),good,PP1,60,60,60,60,37.67,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf29 (49612),KSHV,Orf29,KSHV dream arrayOrf29 (49612),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,35.57
CT,112511,KSHV dream array,Orf29 (49613),KSHV,Orf29,KSHV dream arrayOrf29 (49613),good,PP1,60,60,38.63,60,36.39,60,60,60,60,60,60,60,60,60,60,35.28
CT,112511,KSHV dream array,Orf29 (54355),KSHV,Orf29,KSHV dream arrayOrf29 (54355),good,PP1,60,60,45.22,60,38.2,53.52,51.07,52.64,39.11,52.95,45.37,60,44.15,60,48.93,60
CT,112511,KSHV dream array,Orf30 or Orf29 (50891),KSHV,Orf30 or Orf29,KSHV dream arrayOrf30 or Orf29 (50891),good,PP1,60,35.52,60,60,60,60,60,35.7,36.49,60,60,60,60,60,35.89,35.07
CT,112511,KSHV dream array,Orf30 or Orf29 or 31 (50984),KSHV,Orf30 or Orf29 or 31,KSHV dream arrayOrf30 or Orf29 or 31 (50984),good,PP1,60,60,60,60,60,37,36.25,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf30 or Orf29 or 31 (51123),KSHV,Orf30 or Orf29 or 31,KSHV dream arrayOrf30 or Orf29 or 31 (51123),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,37.01
CT,112511,KSHV dream array,"Orf32 or 29,30,31 (51996)",KSHV,"Orf32 or 29,30,31","KSHV dream arrayOrf32 or 29,30,31 (51996)",good,PP1,60,60,35.39,60,60,60,60,60,60,60,60,60,36.93,60,60,36.33
CT,112511,KSHV dream array,"Orf32 or 29,30,31 (52828)",KSHV,"Orf32 or 29,30,31","KSHV dream arrayOrf32 or 29,30,31 (52828)",good,PP1,60,60,60,60,35.02,60,60,36.21,60,34.4,60,60,60,35.75,60,33.44
CT,112511,KSHV dream array,"Orf33 or 29,30,31,32 (53424)",KSHV,"Orf33 or 29,30,31,32","KSHV dream arrayOrf33 or 29,30,31,32 (53424)",good,PP1,60,60,36.9,36.53,60,37.51,36.8,60,60,38.87,38.62,60,60,60,60,34.24
CT,112511,KSHV dream array,"Orf34 (55359,2)",KSHV,Orf34,"KSHV dream arrayOrf34 (55359,2)",good,PP2,60,60,60,60,60,60,38.06,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf34 (55359),KSHV,Orf34,KSHV dream arrayOrf34 (55359),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,"Orf37 or 34,35,36 (57765,2)",KSHV,"Orf37 or 34,35,36","KSHV dream arrayOrf37 or 34,35,36 (57765,2)",good,PP2,60,60,36.99,39.14,37.12,36.96,36.34,36.31,60,37.05,60,60,60,37.88,60,34.57
CT,112511,KSHV dream array,"Orf37 or 34,35,36 (57765)",KSHV,"Orf37 or 34,35,36","KSHV dream arrayOrf37 or 34,35,36 (57765)",good,PP1,37.98,60,35.59,60,36.74,60,60,48.48,60,37,60,60,60,60,60,36.54
CT,112511,KSHV dream array,"Orf37 or 34,35,36 (58237)",KSHV,"Orf37 or 34,35,36","KSHV dream arrayOrf37 or 34,35,36 (58237)",good,PP1,34.96,60,34.62,60,34.06,37.23,35.92,34.48,60,33.7,60,60,60,33.42,60,32.58
CT,112511,KSHV dream array,Orf39 (60036),KSHV,Orf39,KSHV dream arrayOrf39 (60036),good,PP1,60,60,60,60,37.22,38.36,60,60,60,60,60,60,60,60,60,32.96
CT,112511,KSHV dream array,ORF4 (2109),KSHV,ORF4,KSHV dream arrayORF4 (2109),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,ORF4 (2360),KSHV,ORF4,KSHV dream arrayORF4 (2360),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,ORF4 (2545),KSHV,ORF4,KSHV dream arrayORF4 (2545),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf40 (60631),KSHV,ORF40,KSHV dream arrayOrf40 (60631),good,PP1,60,60,60,60,60,60,60,35.65,60,54.8,54.88,60,60,60,60,32.92
CT,112511,KSHV dream array,Orf40 (61476),KSHV,ORF40,KSHV dream arrayOrf40 (61476),good,PP1,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,34.96
