"type","Date","Array","Primer","Type","Gene","Concat","Good","Plate","X629","X731","X1314","X1700","X2572","X2741","X2858","X2910","X2969","X3544","X3937","X4428","X4678","X5485","X7121","X8239"
"CT","112511","KSHV dream array","K3 (19577)","KSHV","K3","KSHV dream arrayK3 (19577)","good","PP1",54.9628958376125,54.5406147032045,54.8835439472459,54.1769297826104,54.2778360331431,54.3417242891155,54.4615630339831,54.3229524721391,55.9232114306651,38.68,55.7343214545399,55.5331854512915,54.4820681819692,36.65,55.1161182983778,51.3860870912299
"CT","112511","KSHV dream array","K4 (21778)","KSHV","K4","KSHV dream arrayK4 (21778)","good","PP1",34.76,54.6412547915243,55.6866245102137,54.5652038794942,54.6628411840647,39.17,36.48,54.6596310799941,54.1287457216531,35.55,55.0317469928414,54.0001041018404,54.2753167073242,35.82,54.3735860963352,54.2516283025034
"CT","112511","KSHV dream array","K5 (26200,2)","KSHV","K5","KSHV dream arrayK5 (26200,2)","good","PP2",36.96,33.94,28.24,35.13,46.3317534253187,33.84,31.88,33.49,35.47,34.42,45.1528907928243,46.4351979434676,34.61,33.28,47.5115511279739,32.58
"CT","112511","KSHV dream array","K5 (26200)","KSHV","K5","KSHV dream arrayK5 (26200)","good","PP1",54.813500224147,35.25,30.51,43.14,37.6,38.55,35.7,34.64,34.66,33.57,36.67,55.7200575368479,35.4,36.82,54.8866069260985,34.9
"CT","112511","KSHV dream array","K7 (28624)","KSHV","K7","KSHV dream arrayK7 (28624)","good","PP1",33.7,54.2669051554985,31.03,39.93,54.1767095550895,55.5468275579624,55.326377317775,54.1411079680547,35.19,34,34.91,54.5947309094481,54.2052892679349,34.29,55.6093495697714,55.3931502997875
"CT","112511","KSHV dream array","K7 (28694)","KSHV","K7","KSHV dream arrayK7 (28694)","good","PP1",32.03,34.93,27.97,32.09,32.5,31.29,31.33,31.99,32.85,29.38,54.3018176015466,55.3723838618025,32.67,29.05,35.91,28.53
"CT","112511","KSHV dream array","Orf 10 or 4,6,7,8,9 (15008)","KSHV","Orf 10 or 4,6,7,8,9","KSHV dream arrayOrf 10 or 4,6,7,8,9 (15008)","good","PP1",55.4701263983734,55.3967232569121,54.2325481087901,54.0957874651067,36.54,37.88,38.56,54.5195117904805,54.0622525177896,35.31,54.3492417195812,54.8565492993221,37.92,55.122533544898,55.4474770561792,43.5
"CT","112511","KSHV dream array","Orf 10 or 4,6,7,8,9 (15244)","KSHV","Orf 10 or 4,6,7,8,9","KSHV dream arrayOrf 10 or 4,6,7,8,9 (15244)","good","PP1",54.0924823102541,55.6442777216434,55.0128776365891,54.650146914646,54.5792708666995,54.7232007374987,36.02,36.64,34.33,36.92,55.6607152265497,54.7867555068806,54.2280618315563,55.2210863460787,54.6620009606704,54.1209033322521
"CT","112511","KSHV dream array","Orf 10 or 4,6,7,8,9 (15288)","KSHV","Orf 10 or 4,6,7,8,9","KSHV dream arrayOrf 10 or 4,6,7,8,9 (15288)","good","PP1",52.2262292703055,54.3047834578902,35.06,55.4734861413017,54.8124643806368,55.8054132647812,55.195877647493,55.8887385535054,54.3182795587927,36.81,54.6854961225763,55.4046874353662,55.8532346514985,54.0953231281601,54.6904697311111,54.734826113563
"CT","112511","KSHV dream array","Orf 11 or 10,9,8,7,6,4 (16677)","KSHV","Orf 11 or 10,9,8,7,6,4","KSHV dream arrayOrf 11 or 10,9,8,7,6,4 (16677)","good","PP1",35.21,55.8893604758196,32.95,35.79,54.7174191712402,34.8,34.98,32.03,33.32,32.64,55.4541327147745,55.4716254714876,49.0155292681046,34.68,55.8599298195913,34.49
"CT","112511","KSHV dream array","Orf 22 or 21 (38336)","KSHV","Orf 22 or 21","KSHV dream arrayOrf 22 or 21 (38336)","good","PP1",43.02,54.9557496248744,37.76,55.8855087948032,55.5157268042676,54.6306608961895,55.1442467351444,54.7785240462981,55.5250394102186,38.72,54.4080464141443,54.2678077314049,54.4374832431786,54.8841538028792,55.5395585554652,55.1166326371022
"CT","112511","KSHV dream array","Orf 22 or 21 (38857)","KSHV","Orf 22 or 21","KSHV dream arrayOrf 22 or 21 (38857)","good","PP1",37.59,55.2835411503911,55.7714081956074,54.3660877430812,54.6124204299413,55.074818297755,55.7442140579224,54.813381460961,55.1335245980881,36.16,54.4106160704978,55.8251172839664,54.2039840384386,54.7076009963639,55.2418777397834,55.0064230728894
"CT","112511","KSHV dream array","Orf 34 or Orf35 (55680,2)","KSHV","Orf 34 or Orf35","KSHV dream arrayOrf 34 or Orf35 (55680,2)","good","PP2",54.4499899256043,54.8928443598561,54.7088401075453,55.1010481794365,55.0185242490843,35.22,55.0785677065141,54.4806447830051,55.055268027354,54.8473648200743,55.6597517030314,55.475717084948,54.1015992979519,55.9344452084042,55.5273729320616,32.95
"CT","112511","KSHV dream array","Orf 34 or Orf35 (55680)","KSHV","Orf 34 or Orf35","KSHV dream arrayOrf 34 or Orf35 (55680)","good","PP1",54.5155742708594,55.917788031511,34.24,55.9795695669018,55.5658247778192,36.03,35.18,46.2357046864368,55.3712819283828,35.78,54.5338331209496,55.3354818634689,54.0935601042584,55.2728530326858,54.9961459948681,34.41
"CT","112511","KSHV dream array","Orf 36 or Orf34 or 35 (56709,2)","KSHV","Orf 36 or Orf34 or 35","KSHV dream arrayOrf 36 or Orf34 or 35 (56709,2)","good","PP2",54.656183432322,53.64796646595,54.3359874812886,54.6288574500941,55.5504058152437,41.95,48.366241342593,41.23,54.0197661556304,55.8511409875937,37.26,55.4205040833913,45.7698117057793,54.0932118720375,55.9347285679542,37.94
"CT","112511","KSHV dream array","Orf 36 or Orf34 or 35 (56709)","KSHV","Orf 36 or Orf34 or 35","KSHV dream arrayOrf 36 or Orf34 or 35 (56709)","good","PP1",54.3194935624488,57.660048443526,40.14,40.46,54.3357166592032,54.326582712587,41.12,47.2190665438771,54.4498091060668,54.9597598393448,38.71,47.2164124977402,54.0756378304213,54.879508222919,54.1755174491554,33.9
"CT","112511","KSHV dream array","ORF16 (30265)","KSHV","ORF16","KSHV dream arrayORF16 (30265)","good","PP1",55.8027280396782,55.8853309382685,54.6623352547176,55.3206732962281,55.6597095676698,54.7753107072785,54.8169607068412,55.2198911691085,54.1343750962988,54.8605396468192,54.8369476967491,55.2431175848469,55.2326562595554,54.9032266829163,54.2023566956632,54.6212050593458
"CT","112511","KSHV dream array","ORF16 (30403)","KSHV","ORF16","KSHV dream arrayORF16 (30403)","good","PP1",54.4640415669419,55.5777470376343,55.5158343655057,55.6255603954196,55.8897944414057,54.1584488297813,36.01,54.5418991469778,54.8136680941097,55.1152273193002,54.761676881928,55.2777603268623,55.0387395159341,55.5928527778015,54.236370971892,54.2992537282407
"CT","112511","KSHV dream array","ORF17 (31829)","KSHV","ORF17","KSHV dream arrayORF17 (31829)","good","PP1",54.5939260697924,55.4408530052751,55.0492490003817,55.2691068928689,55.6902107326314,54.2374590467662,55.8412861688994,54.15908120526,54.5957841207273,54.0886363121681,54.6027299109846,55.391258850228,39.82,35.49,55.9776414833032,55.121846545022
